Command: $env:PYTHONUTF8='1'; python -m unittest discover -s tests -v
Working directory: D:\SoftWare\VScode\install\Project\agentic-payment-trust-lab
Exit code: 0
--- STDOUT ---

--- STDERR ---
test_acp_path_and_neutral_path_produce_identical_s09_result (test_acp_adapter.ACPOrderAdapterTest.test_acp_path_and_neutral_path_produce_identical_s09_result) ... ok
test_bridge_fields_and_unverified_boundaries_remain_explicit (test_acp_adapter.ACPOrderAdapterTest.test_bridge_fields_and_unverified_boundaries_remain_explicit) ... ok
test_maps_fixed_acp_checkout_pair_to_exact_s09_neutral_orders (test_acp_adapter.ACPOrderAdapterTest.test_maps_fixed_acp_checkout_pair_to_exact_s09_neutral_orders) ... ok
test_refuses_to_invent_missing_checkout_objects (test_acp_adapter.ACPOrderAdapterTest.test_refuses_to_invent_missing_checkout_objects) ... ok
test_maps_snapshot_without_installing_ap2_sdk (test_ap2_adapter.AP2AdapterTest.test_maps_snapshot_without_installing_ap2_sdk) ... ok
test_refuses_to_invent_missing_protocol_objects (test_ap2_adapter.AP2AdapterTest.test_refuses_to_invent_missing_protocol_objects) ... ok
test_human_not_present_with_preauthorization_and_trigger_allows (test_ap2_flow_adapter.AP2FlowAdapterTest.test_human_not_present_with_preauthorization_and_trigger_allows) ... ok
test_human_not_present_without_preauthorization_is_indeterminate (test_ap2_flow_adapter.AP2FlowAdapterTest.test_human_not_present_without_preauthorization_is_indeterminate) ... ok
test_human_present_confirmed_cart_maps_to_neutral_models_and_allows (test_ap2_flow_adapter.AP2FlowAdapterTest.test_human_present_confirmed_cart_maps_to_neutral_models_and_allows) ... ok
test_human_present_without_user_authorization_requires_confirmation (test_ap2_flow_adapter.AP2FlowAdapterTest.test_human_present_without_user_authorization_requires_confirmation) ... ok
test_payment_mandate_must_bind_to_cart_payment_details (test_ap2_flow_adapter.AP2FlowAdapterTest.test_payment_mandate_must_bind_to_cart_payment_details) ... ok
test_cli_runs_hp_and_hnp_offline_fixtures (test_ap2_flow_entrypoint.AP2FlowEntrypointTest.test_cli_runs_hp_and_hnp_offline_fixtures) ... ok
test_benign_untrusted_content_does_not_create_false_alarm (test_attack_overlay.AttackOverlayTest.test_benign_untrusted_content_does_not_create_false_alarm) ... ok
test_first_suite_contains_benign_and_attack_cases (test_attack_overlay.AttackOverlayTest.test_first_suite_contains_benign_and_attack_cases) ... ok
test_unknown_override_root_is_rejected (test_attack_overlay.AttackOverlayTest.test_unknown_override_root_is_rejected) ... ok
test_untrusted_override_cannot_change_payment_amount (test_attack_overlay.AttackOverlayTest.test_untrusted_override_cannot_change_payment_amount) ... ok
test_untrusted_override_cannot_swap_merchant_or_agent (test_attack_overlay.AttackOverlayTest.test_untrusted_override_cannot_swap_merchant_or_agent) ... ok
test_cli_runs_attack_overlay_v1_and_writes_report (test_attack_overlay_entrypoint.AttackOverlayEntrypointTest.test_cli_runs_attack_overlay_v1_and_writes_report) ... ok
test_cli_help_uses_stable_current_scenario_set_wording (test_entrypoint.EntrypointTest.test_cli_help_uses_stable_current_scenario_set_wording) ... ok
test_run_experiment_entrypoint (test_entrypoint.EntrypointTest.test_run_experiment_entrypoint) ... ok
test_run_experiment_fails_when_internal_baseline_drifts (test_entrypoint.EntrypointTest.test_run_experiment_fails_when_internal_baseline_drifts) ... ok
test_allow_when_confirmation_expected_misses_confirmation (test_evaluator.EvaluatorTest.test_allow_when_confirmation_expected_misses_confirmation) ... ok
test_allow_when_deny_expected_is_unsafe_allow (test_evaluator.EvaluatorTest.test_allow_when_deny_expected_is_unsafe_allow) ... ok
test_alternative_safe_decision_is_accepted (test_evaluator.EvaluatorTest.test_alternative_safe_decision_is_accepted) ... ok
test_deny_when_allow_expected_is_false_refusal (test_evaluator.EvaluatorTest.test_deny_when_allow_expected_is_false_refusal) ... ok
test_determinate_answer_when_indeterminate_expected_is_overconfident (test_evaluator.EvaluatorTest.test_determinate_answer_when_indeterminate_expected_is_overconfident) ... ok
test_forbidden_side_effect_fails_even_when_decision_is_correct (test_evaluator.EvaluatorTest.test_forbidden_side_effect_fails_even_when_decision_is_correct) ... ok
test_matching_decision_without_forbidden_effects_passes (test_evaluator.EvaluatorTest.test_matching_decision_without_forbidden_effects_passes) ... ok
test_catalog_covers_all_current_scenarios_with_small_field_sets (test_interactive_lab.InteractiveLabTest.test_catalog_covers_all_current_scenarios_with_small_field_sets) ... ok
test_core_pre_payment_inputs_are_recomputed (test_interactive_lab.InteractiveLabTest.test_core_pre_payment_inputs_are_recomputed) ... ok
test_lifecycle_inputs_are_recomputed (test_interactive_lab.InteractiveLabTest.test_lifecycle_inputs_are_recomputed) ... ok
test_local_http_api_recomputes_s13 (test_interactive_lab.InteractiveLabTest.test_local_http_api_recomputes_s13) ... ok
test_matrix_projection_moves_with_recomputed_result (test_interactive_lab.InteractiveLabTest.test_matrix_projection_moves_with_recomputed_result) ... ok
test_s09_price_edit_keeps_simple_order_consistent (test_interactive_lab.InteractiveLabTest.test_s09_price_edit_keeps_simple_order_consistent) ... ok
test_s12_recovery_changes_with_status_idempotency_and_attempts (test_interactive_lab.InteractiveLabTest.test_s12_recovery_changes_with_status_idempotency_and_attempts) ... ok
test_unknown_override_is_rejected (test_interactive_lab.InteractiveLabTest.test_unknown_override_is_rejected) ... ok
test_overview_exposes_linked_navigation_items_for_frontend (test_lab_overview.LabOverviewTest.test_overview_exposes_linked_navigation_items_for_frontend) ... ok
test_overview_normalizes_four_validation_modules (test_lab_overview.LabOverviewTest.test_overview_normalizes_four_validation_modules) ... ok
